State,District,Subdistt,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,Sex_Ratio,Child_Pop_Pct,SC_Pop_Pct,ST_Pop_Pct,Literacy_Rate,Male_Literacy_Rate,Female_Literacy_Rate,Gender_Literacy_Gap,Worker_Participation,Female_Worker_Part,Main_Worker_Pct,Marginal_Worker_Pct,Non_Worker_Pct,Agri_Worker_Pct
09,151,00000,DISTRICT,Pilibhit,Total,362573,2031007,1072002,959005,304920,159509,145411,333558,176436,157122,1714,892,822,1061095,654290,406805,969912,417712,552200,618605,534939,83666,463415,422120,41295,195677,186940,8737,138441,128058,10383,12465,7352,5113,116832,99770,17062,155190,112819,42371,20799,12584,8215,85751,68569,17182,10317,3815,6502,38323,27851,10472,1412402,537063,875339,894.5925474019638,15.013242199559135,16.423281652894353,0.08439163429766613,61.474016083777926,71.70356375336578,50.00098329142053,21.702580461945253,30.45804371919939,8.724250655627447,74.912908883698,25.087091116302002,69.5419562808006,54.011525933350036
09,152,00000,DISTRICT,Shahjahanpur,Total,527501,3006538,1606403,1400135,502625,264106,238519,532673,285280,247393,508,259,249,1490930,915142,575788,1515608,691261,824347,892214,783313,108901,699503,640720,58783,321484,308277,13207,175020,164058,10962,19505,12766,6739,183494,155619,27875,192711,142593,50118,23489,15655,7834,100172,82160,18012,11636,5067,6569,57414,39711,17703,2114324,823090,1291234,871.5963553354917,16.717733153547368,17.717155080028924,0.016896510205425645,59.54400172849456,68.17731098259178,49.567843418134736,18.60946756445704,29.675793221306368,7.7778928460469885,78.40080967122238,21.599190328777627,70.32420677869364,55.648532751111276
09,153,00000,DISTRICT,Kheri,Total,745077,4021243,2123187,1898056,662296,344806,317490,1061782,559240,502542,53375,26984,26391,2034044,1237157,796887,1987199,886030,1101169,1264718,1058483,206235,958249,855497,102752,479515,449443,30072,257880,230144,27736,28390,18977,9413,192464,156933,35531,306469,202986,103483,49708,29821,19887,164262,120413,43849,19447,7834,11613,73052,44918,28134,2756525,1064704,1691821,893.9655338884422,16.469932307000594,26.404323240351303,1.3273259039555678,60.55600162789112,69.56647647495109,50.417825006991166,19.148651467959922,31.450922015904037,10.865590899320146,75.76779962015247,24.232200379847523,68.54907798409596,58.30509251864843
09,154,00000,DISTRICT,Sitapur,Total,801764,4483992,2375264,2108728,747558,387417,360141,1446427,767033,679394,1602,833,769,2283733,1397702,886031,2200259,977562,1222697,1422602,1171252,251350,1023642,900129,123513,501124,465076,36048,262453,230785,31668,44472,30756,13716,215593,173512,42081,398960,271123,127837,69973,45755,24218,211101,155642,55459,26499,12728,13771,91387,56998,34389,3061390,1204012,1857378,887.7867891737508,16.671706818388614,32.25757316248557,0.03572709317947043,61.120656754541905,70.312353013084,50.67125627721125,19.641096735872758,31.726238583833332,11.919507873941068,71.95561372752182,28.044386272478178,68.27376141616666,53.674674996942215
09,155,00000,DISTRICT,Hardoi,Total,730442,4092845,2191442,1901403,652496,343617,308879,1274505,685223,589282,349,186,163,2221601,1374587,847014,1871244,816855,1054389,1318946,1091952,226994,969871,866141,103730,521512,486534,34978,228938,204453,24485,36280,25663,10617,183141,149491,33650,349075,225811,123264,75301,43920,31381,177892,126388,51504,23369,10607,12762,72513,44896,27617,2773899,1099490,1674409,867.6492464778898,15.94235794416842,31.139830606827278,0.008527075909300253,64.57487307247027,74.38945787615168,53.186890747015426,21.202567129136256,32.22565232741528,11.938237185909562,73.53379137584102,26.466208624158988,67.77434767258472,56.89770468237517
09,156,00000,DISTRICT,Unnao,Total,588533,3108367,1630087,1478280,435915,227015,208900,948588,494487,454101,2926,1558,1368,1773584,1053063,720521,1334783,577024,757759,1124744,851014,273730,761831,645197,116634,367749,319746,48003,156955,126652,30303,28954,21758,7196,208173,177041,31132,362913,205817,157096,82374,39572,42802,175708,101017,74691,20289,9140,11149,84542,56088,28454,1983623,779073,1204550,906.8718418096703,14.023923172521133,30.51724587218948,0.09413302869320128,66.36542022083091,75.0540955845459,56.761647418424744,18.29244816612116,36.18440164884005,18.51678978272046,67.73372429637323,32.26627570362678,63.81559835115995,46.65097124323402
09,157,00000,DISTRICT,Lucknow,Total,860703,4589838,2394476,2195362,543641,283952,259689,948294,498799,449495,7506,4036,3470,3127260,1742440,1384820,1462578,652036,810542,1542806,1226399,316407,1152285,969574,182711,136454,117331,19123,102508,82782,19726,70070,56034,14036,843253,713427,129826,390521,256825,133696,39124,23996,15128,100521,70208,30313,29793,17964,11829,221083,144657,76426,3047032,1168077,1878955,916.8444369457034,11.844448540449577,20.660729202207136,0.1635351835947151,77.28887150081917,82.55959183596111,71.54204248341533,11.017549352545785,33.613517514125775,14.41252057747196,74.68761464500398,25.312385354996024,66.38648248587423,15.488791202523194
09,158,00000,DISTRICT,Rae Bareli,Total,619707,3405559,1752542,1653017,482517,250501,232016,1030367,526735,503632,1756,876,880,1965843,1165965,799878,1439716,586577,853139,1204710,867393,337317,644869,520983,123886,239991,205212,34779,173691,130207,43484,32646,23229,9417,198541,162335,36206,559841,346410,213431,76900,47985,28915,334191,201935,132256,28128,14750,13378,120622,81740,38882,2200849,885149,1315700,943.2110614182142,14.168510955176522,30.255444113580175,0.05156275372119526,67.25332718448794,77.62537773602718,56.28975630559021,21.335621430436966,35.3748092457068,20.406142223582698,53.52898207867454,46.47101792132546,64.6251907542932,34.338720521951345
09,159,00000,DISTRICT,Farrukhabad,Total,314144,1885204,1006240,878964,302612,160230,142382,312712,168009,144703,230,124,106,1092677,654827,437850,792527,351413,441114,592267,494545,97722,474686,424227,50459,218498,208058,10440,96798,89805,6993,26409,14392,12017,132981,111972,21009,117581,70318,47263,26591,13057,13534,38881,29725,9156,17119,4964,12155,34990,22572,12418,1292937,511695,781242,873.5132771505804,16.05194981551068,16.587700853594626,0.01220027116428779,69.04350584357813,77.40180376118485,59.44348354969304,17.95832021149181,31.416600007214075,11.117861482381532,80.14729843128183,19.85270156871816,68.58339999278593,53.2354495523134
09,160,00000,DISTRICT,Kannauj,Total,280928,1656616,881776,774840,257682,135758,121924,309980,166454,143526,15,9,6,1017087,603596,413491,639529,278180,361349,524676,430934,93742,419027,366081,52946,220006,208949,11057,82537,76553,5984,34597,14275,20322,81887,66304,15583,105649,64853,40796,19344,10482,8862,46980,36160,10820,16733,3708,13025,22592,14503,8089,1131940,450842,681098,878.7265700132459,15.554721190668205,18.7116386658103,0.000905460287719061,72.7044306593449,80.90903972826393,63.32989235981351,17.57914736845042,31.671552127952403,12.098239636570131,79.86395413550457,20.136045864495422,68.32844787204759,57.66282429537467
