State,District,Subdistt,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,Sex_Ratio,Child_Pop_Pct,SC_Pop_Pct,ST_Pop_Pct,Literacy_Rate,Male_Literacy_Rate,Female_Literacy_Rate,Gender_Literacy_Gap,Worker_Participation,Female_Worker_Part,Main_Worker_Pct,Marginal_Worker_Pct,Non_Worker_Pct,Agri_Worker_Pct
01,001,00000,DISTRICT,Kupwara,Total,113929,870354,474190,396164,188798,100459,88339,1048,1046,2,70352,36913,33439,439654,282823,156831,430700,191367,239333,229064,190899,38165,123837,111713,12124,14585,12171,2414,9834,8804,1030,2571,1842,729,96847,88896,7951,105227,79186,26041,20095,13733,6362,46925,41745,5180,5375,2621,2754,32832,21087,11745,641290,283291,357999,835.4541428541302,21.69209310234686,0.12041077538564769,8.0831477766518,64.50739190910213,75.67555273712911,50.948103630309426,24.727449106819684,26.318486500895037,9.63363657475187,54.062183494569204,45.937816505430796,73.68151349910497,10.6603394684455
01,002,00000,DISTRICT,Badgam,Total,103363,753745,398041,355704,155202,84720,70482,368,343,25,23912,12383,11529,335649,207741,127908,418096,190300,227796,214866,162578,52288,132003,116865,15138,34173,31582,2591,11560,10877,683,14401,10652,3749,71869,63754,8115,82863,45713,37150,21126,9351,11775,25070,17395,7675,14701,5928,8773,21966,13039,8927,538879,235463,303416,893.636585175899,20.59078335511347,0.04882287776369992,3.1724256877325887,56.077675288158076,66.30292894507551,44.845068052254035,21.457860892821472,28.506457754280294,14.699862807277961,61.43503392812264,38.56496607187736,71.49354224571971,21.284428434466133
01,003,00000,DISTRICT,Leh(Ladakh),Total,21909,133487,78971,54516,12016,6174,5842,488,444,44,95857,47543,48314,93770,62834,30936,39717,16137,23580,75079,53265,21814,57125,44742,12383,11175,6303,4872,593,304,289,502,188,314,44855,37947,6908,17954,8523,9431,9694,3490,6204,1052,454,598,518,107,411,6690,4472,2218,58408,25706,32702,690.329361411151,9.001625626465499,0.3655786705821541,71.80998898769168,77.19537996723498,86.31399645589791,63.55754612318692,22.75645033271099,56.24442829638841,40.01394086139849,76.08652219661957,23.913477803380438,43.75557170361159,15.674156555095301
01,004,00000,DISTRICT,Kargil,Total,18338,140802,77785,63017,19928,10078,9850,18,12,6,122336,62652,59684,86236,56301,29935,54566,21484,33082,51873,39839,12034,28941,25174,3767,1834,1102,732,524,279,245,272,207,65,26311,23586,2725,22932,14665,8267,6432,3164,3268,3239,1566,1673,950,274,676,12311,9661,2650,88929,37946,50983,810.1433438323584,14.153208051022004,0.012783909319469893,86.88512947259271,71.34371328821749,83.15388364570872,56.3037222337164,26.850161411992318,36.84109600715899,19.09643429550756,55.79203053611705,44.20796946388295,63.15890399284101,4.54571742525013
01,005,00000,DISTRICT,Punch,Total,90261,476835,251899,224936,84674,44733,39941,556,406,150,176101,90274,85827,261724,163333,98391,215111,88566,126545,161393,117677,43716,73247,63147,10100,17902,15566,2336,5917,4958,959,1187,819,368,48241,41804,6437,88146,54530,33616,36362,22076,14286,25666,19737,5929,2743,904,1839,23375,11813,11562,315442,134222,181220,892.9610677295266,17.75750521668921,0.1166021789507901,36.93122358887246,66.7389159044372,78.84160528272014,53.185761777345334,25.655843505374804,33.84671846655552,19.434861471707507,45.38424838747653,54.61575161252347,66.15328153344448,14.758384812228536
01,006,00000,DISTRICT,Rajouri,Total,130401,642415,345351,297064,108271,58051,50220,48157,25170,22987,232815,121374,111441,364109,224469,139640,278306,120882,157424,290912,184752,106160,130377,110114,20263,43100,34752,8348,6148,5205,943,1655,1108,547,79474,69049,10425,160535,74638,85897,93427,47002,46425,17868,11153,6715,3001,796,2205,46239,15687,30552,351503,160599,190904,860.1799328798816,16.853747188343984,7.496244639368632,36.24059214059447,68.16682392763,78.13052558301426,56.57014146586508,21.560384117149184,45.28412319139497,35.73640696954192,44.816645583544165,55.183354416455835,54.715876808605024,16.928830711692882
01,007,00000,DISTRICT,Kathua,Total,119583,616435,326109,290326,83936,45833,38103,141224,74644,66580,53307,27693,25614,389204,228499,160705,227231,97610,129621,200431,161548,38883,142847,123404,19443,46391,39107,7284,10152,8985,1167,2226,1676,550,84078,73636,10442,57584,38144,19440,23142,12494,10648,11414,8613,2801,1726,837,889,21302,16200,5102,416004,164561,251443,890.2728842196934,13.616358577952258,22.909795842221808,8.647627081525222,73.09009031002876,81.52642395353152,63.71544228718238,17.810981666349143,32.51453924582478,13.39287559502077,71.26991333675929,28.730086663240716,67.48546075417522,28.210705928723602
01,008,00000,DISTRICT,Baramula,Total,152635,1008039,534733,473306,164581,88321,76260,1476,1451,25,37705,20237,17468,545149,337170,207979,462890,197563,265327,304200,249581,54619,187959,169496,18463,31114,28357,2757,19159,18143,1016,7650,5545,2105,130036,117451,12585,116241,80085,36156,26381,14785,11596,43087,35173,7914,7434,3550,3884,39339,26577,12762,703839,285152,418687,885.1258478530407,16.326848465188352,0.14642290625660317,3.740430677781316,64.63261952580923,75.52888363216043,52.3815880275837,23.147295604576726,30.17740385044626,11.539891740227253,61.7879684418146,38.21203155818541,69.82259614955375,16.52629848783695
01,009,00000,DISTRICT,Bandipore,Total,58392,392232,207680,184552,61754,32641,29113,392,375,17,75374,39398,35976,185979,117058,68921,206253,90622,115631,149317,101380,47937,75173,64904,10269,10778,9878,900,9423,7881,1542,9526,6916,2610,45446,40229,5217,74144,36476,37668,17454,6877,10577,23459,13764,9695,10958,4384,6574,22273,11451,10822,242915,106300,136615,888.6363636363636,15.744253401048358,0.09994085133288462,19.21668808256338,56.27575814426377,66.87538205771286,44.33958015684609,22.535801900866765,38.068541067531456,25.974793012267543,50.34456893722751,49.65543106277249,61.931458932468544,13.528935084417714
01,010,00000,DISTRICT,Srinagar,Total,191678,1236829,651124,585705,158300,84897,73403,1068,995,73,8935,5021,3914,748584,431746,316838,488245,219378,268867,407188,333151,74037,330547,289800,40747,6602,5616,986,6513,6013,500,12577,9994,2583,304855,268177,36678,76641,43351,33290,5626,2803,2823,3895,2854,1041,7518,2092,5426,59602,35602,24000,829641,317973,511668,899.5291219491219,12.798859017697678,0.08634985111118837,0.7224119098112997,69.40786942214812,76.24963133160375,61.8459424323934,14.403688899210351,32.92193181110727,12.64066381540195,81.17798166940086,18.822018330599132,67.07806818889273,3.2208709490456497
01,011,00000,DISTRICT,Ganderbal,Total,45361,297446,158720,138726,50594,27159,23435,117,105,12,61070,32554,28516,143276,90581,52695,154170,68139,86031,100890,73305,27585,52949,46779,6170,5227,4210,1017,5539,4761,778,1931,1492,439,40252,36316,3936,47941,26526,21415,10110,3386,6724,13773,8519,5254,5699,2105,3594,18359,12516,5843,196556,85415,111141,874.0297379032259,17.009473988555907,0.039334870867317094,20.53145781082953,58.04125548911898,68.8509512697532,45.706082868567364,23.144868401185832,33.91876172481727,19.884520565719477,52.48191099216969,47.51808900783031,66.08123827518271,10.671027852116167
01,012,00000,DISTRICT,Pulwama,Total,86241,560440,293064,267376,97374,53234,44140,402,397,5,22607,11837,10770,293958,178326,115632,266482,114738,151744,188420,138428,49992,98306,89170,9136,18816,17200,1616,6992,6598,394,3711,2865,846,68787,62507,6280,90114,49258,40856,30930,13437,17493,27088,19536,7552,6904,1570,5334,25192,14715,10477,372020,154636,217384,912.3467911445964,17.374562843480124,0.07172935550638783,4.0337948754549995,63.48079971321583,74.35516824417296,51.79809708111595,22.55707116305701,33.62001284704875,18.697265274370174,52.17386689311113,47.82613310688886,66.37998715295124,13.697059760110392
01,013,00000,DISTRICT,Shupiyan,Total,44411,266215,136480,129735,41547,22121,19426,43,43,0,21820,11311,10509,136500,80355,56145,129715,56125,73590,87721,63931,23790,54703,48945,5758,29183,26399,2784,3761,3575,186,1519,1100,419,20240,17871,2369,33018,14986,18032,18241,6774,11467,7074,4882,2192,1876,472,1404,5827,2858,2969,178494,72549,105945,950.5788393903869,15.60655860864339,0.016152358056458125,8.196382623067821,60.756315986255274,70.26556720502978,50.89793217235221,19.36763503267757,32.95118607140845,18.337380043935713,62.36021021192188,37.63978978807811,67.04881392859156,37.55543142463036
01,014,00000,DISTRICT,Anantnag,Total,153640,1078692,559767,518925,208538,113278,95260,1826,1811,15,116006,60990,55016,545532,324417,221115,533160,235350,297810,389684,244032,145652,176800,158226,18574,36670,32499,4171,19664,18073,1591,5352,3974,1378,115114,103680,11434,212884,85806,127078,104287,28184,76103,56700,34372,22328,10970,2923,8047,40927,20327,20600,689008,315735,373273,927.0374995310549,19.332487864932716,0.16927908986068313,10.754320973920265,62.69373007536597,72.65957280022576,52.19099996459467,20.468572835631093,36.12560397221821,28.068025244495832,45.37009474343314,54.62990525656686,63.8743960277818,14.456328717627617
01,015,00000,DISTRICT,Kulgam,Total,73728,424483,217620,206863,71501,37929,33572,21,11,10,26525,13888,12637,209085,125052,84033,215398,92568,122830,159990,102317,57673,77812,70202,7610,26771,24013,2758,8830,8413,417,2616,2140,476,39595,35636,3959,82178,32115,50063,42402,11480,30922,21098,12769,8329,3577,929,2648,15101,6937,8164,264493,115303,149190,950.5698005698006,16.84425524697102,0.00494719458729796,6.24877792514659,59.23389861239383,69.5928009750071,48.492420264179906,21.10038071082719,37.69055533437146,27.879804508297763,48.635539721232576,51.364460278767424,62.30944466562855,22.252015750984437
01,016,00000,DISTRICT,Doda,Total,79636,409936,213641,196295,71240,36862,34378,53408,27209,26199,39216,20377,18839,219083,138620,80463,190853,75021,115832,151912,101144,50768,79377,68349,11028,24049,20380,3669,3938,3516,422,579,472,107,50811,43981,6830,72535,32795,39740,45898,14676,31222,8261,4698,3563,1353,399,954,17023,13022,4001,258024,112497,145527,918.8077194920451,17.378322469848953,13.02837516100074,9.566371336013427,64.68425963105557,78.41429129025506,49.69397901393924,28.720312276315823,37.057491901174814,25.86311419037673,52.25196166201484,47.74803833798515,62.94250809882518,18.423166043498867
01,017,00000,DISTRICT,Ramban,Total,55490,283713,149132,134581,55092,28625,26467,13920,7168,6752,39772,20940,18832,124065,82938,41127,159648,66194,93454,87212,68476,18736,52051,46507,5544,21743,19713,2030,3410,3238,172,985,401,584,25913,23155,2758,35161,21969,13192,19651,12471,7180,5400,3830,1570,1553,295,1258,8557,5373,3184,196501,80656,115845,902.4287208647372,19.41821488617018,4.906366645166066,14.01839182554201,54.266668416287224,68.82421768030072,38.040401798102,30.783815882198716,30.739514932343603,13.921727435522103,59.68330046323901,40.316699536761,69.26048506765639,28.841214511764434
01,018,00000,DISTRICT,Kishtwar,Total,45209,230696,120165,110531,39396,20479,18917,14307,7322,6985,38149,19889,18260,107506,68700,38806,123190,51465,71725,82974,56779,26195,44718,36110,8608,19210,14692,4518,3583,2669,914,398,249,149,21527,18500,3027,38256,20669,17587,20061,8593,11468,12713,8205,4508,788,217,571,4694,3654,1040,147722,63386,84336,919.8269046727416,17.077019107396747,6.201667995977391,16.53648090994209,56.19759539989545,68.91639748811266,42.35815486716004,26.558242620952626,35.96681346880744,23.699233699143228,53.89399088871213,46.10600911128787,64.03318653119257,27.470050859305324
01,019,00000,DISTRICT,Udhampur,Total,99240,554985,296784,258201,84332,44703,39629,138569,72093,66476,56309,29142,27167,322354,197543,124811,232631,99241,133390,243672,163845,79827,152442,127825,24617,57687,46466,11221,3858,2926,932,1210,920,290,89687,77513,12174,91230,36020,55210,55333,18529,36804,7538,3243,4295,1431,416,1015,26928,13832,13096,311313,132939,178374,869.9963609898108,15.195365640512806,24.968062199879277,10.146039983062604,68.49079895379398,78.36489065022751,57.10292260673828,21.261968043489226,43.90605151490581,30.916611477105043,62.56032699694671,37.43967300305329,56.09394848509419,25.257313109425784
01,020,00000,DISTRICT,Reasi,Total,56689,314667,166461,148206,55799,29079,26720,37757,19657,18100,88365,46330,42035,150542,93937,56605,164125,72524,91601,144767,88755,56012,88462,74819,13643,48754,42693,6061,1293,981,312,282,205,77,38133,30940,7193,56305,13936,42369,47393,10707,36686,2716,801,1915,252,38,214,5944,2390,3554,169900,77706,92194,890.3346729864653,17.732714266192513,11.999033899328497,28.082067709674035,58.15396263732868,68.37649764889142,46.593846204500935,21.78265144439048,46.00641312879965,37.79334170006612,61.1064676341984,38.8935323658016,53.99358687120035,34.570723990964794
01,021,00000,DISTRICT,Jammu,Total,314199,1529958,813821,716137,167363,93242,74121,377991,197610,180381,69193,36323,32870,1137135,641916,495219,392823,171905,220918,508622,417456,91166,410344,351974,58370,47745,41930,5815,16414,14629,1785,6597,4781,1816,339588,290634,48954,98278,65482,32796,20868,12160,8708,20459,15148,5311,3992,1622,2370,52959,36552,16407,1021336,396365,624971,879.9686909037737,10.939058457813875,24.705972320808804,4.522542448877682,83.45363075602069,89.08336212962075,77.13499352041072,11.948368609210036,33.24418055920489,12.730245749067567,80.67759554246572,19.32240445753428,66.75581944079511,12.614279366602311
01,022,00000,DISTRICT,Samba,Total,65385,318898,169124,149774,38669,21737,16932,91835,47920,43915,17573,9188,8385,228139,130312,97827,90759,38812,51947,92526,81952,10574,74129,67523,6606,12960,11788,1172,2414,2243,171,1079,968,111,57676,52524,5152,18397,14429,3968,3934,2938,996,3691,2816,875,441,345,96,10331,8330,2001,226372,87172,139200,885.5869066483764,12.125820795364035,28.797609266912932,5.510539420128066,81.41163120162439,88.41485341312327,73.64161936736875,14.77323404575452,29.014292971420332,7.0599703553353725,80.1169401033223,19.88305989667769,70.98570702857967,16.61587013380023
02,023,00000,DISTRICT,Chamba,Total,102460,519080,261320,257760,70359,36024,34335,111690,56154,55536,135500,67900,67600,323842,186064,137778,195238,75256,119982,294035,158791,135244,119632,87311,32321,51959,32797,19162,2650,1648,1002,1920,1191,729,63103,51675,11428,174403,71480,102923,144706,53707,90999,6543,3590,2953,2601,1070,1531,20553,13113,7440,225045,102529,122516,986.3768559620388,13.55455806426755,21.516914541111195,26.103876088464204,72.17001210106056,82.58646402954336,61.66633098355153,20.920133045991832,56.64541111196733,52.46896337678461,40.68631285391195,59.31368714608804,43.35458888803267,18.572278810345708
02,024,00000,DISTRICT,Kangra,Total,338887,1510075,750591,759484,164607,87741,76866,319385,159697,159688,84564,41745,42819,1152640,606443,546197,357435,144148,213287,675170,403756,271414,313915,245711,68204,69424,43628,25796,11122,8403,2719,7658,6137,1521,225711,187543,38168,361255,158045,203210,233583,77515,156068,43727,24543,19184,8004,4298,3706,75941,51689,24252,834905,346835,488070,1011.8479971116094,10.900584408059203,21.15027399301359,5.5999867556247205,85.66833250586413,91.49023157577129,80.01503036837588,11.475201207395415,44.71102428687317,35.73663171311048,46.49421627145756,53.50578372854245,55.28897571312683,11.929736214582993
02,025,00000,DISTRICT,Lahul & Spiti,Total,6674,31564,16588,14976,3125,1537,1588,2235,1154,1081,25707,12748,12959,21845,12897,8948,9719,3691,6028,19295,10763,8532,15190,8732,6458,8877,4018,4859,263,167,96,155,93,62,5895,4454,1441,4105,2031,2074,2350,873,1477,309,172,137,12,6,6,1434,980,454,12269,5825,6444,902.8213166144201,9.90051957926752,7.080851603092131,81.44405018375365,76.81353071486339,85.68865856089296,66.83597251269794,18.852686048195025,61.129768090229376,56.97115384615385,78.72505830526043,21.274941694739567,38.870231909770624,47.36978491837264
02,026,00000,DISTRICT,Kullu,Total,94807,437903,225452,212451,50431,25707,24724,122659,62686,59973,16822,8493,8329,307672,174550,133122,130231,50902,79329,269084,148829,120255,193876,119053,74823,132503,72997,59506,7172,4198,2974,1812,1202,610,52389,40656,11733,75208,29776,45432,64638,24844,39794,5200,2059,3141,895,383,512,4475,2490,1985,168819,76623,92196,942.3336231215513,11.516477393395341,28.01054114724037,3.8414900103447565,79.40496345542387,87.38641768254524,70.91254854123275,16.47386914131249,61.44831161238905,56.60364036883799,72.0503634552779,27.949636544722097,38.55168838761095,51.907582762260105
02,027,00000,DISTRICT,Mandi,Total,219145,999777,498065,501712,112074,58486,53588,293739,147250,146489,12787,6345,6442,723747,393669,330078,276030,104396,171634,572671,297464,275207,284154,185609,98545,148342,77519,70823,4809,3012,1797,3926,3033,893,127077,102045,25032,288517,111855,176662,239602,84597,155005,11013,5084,5929,3208,1744,1464,34694,20430,14264,427106,200601,226505,1007.3223374459157,11.209899807657107,29.38045184076049,1.2789852137026558,81.5303091236596,89.55591600144683,73.65773759048835,15.89817841095848,57.27987341177082,54.8535813375004,49.619065746301104,50.380934253698896,42.72012658822917,26.74327842688036
02,028,00000,DISTRICT,Hamirpur,Total,105519,454768,217070,237698,48548,25722,22826,109256,53727,55529,3044,1531,1513,358091,180555,177536,96677,36515,60162,241931,118724,123207,126153,75390,50763,53974,17432,36542,3475,1630,1845,1775,1341,434,66929,54987,11942,115778,43334,72444,93129,29618,63511,5349,2371,2978,1572,785,787,15728,10560,5168,212837,98346,114491,1095.0292532362832,10.675333356788515,24.02455757661049,0.6693522851212047,88.15198660824184,94.35949160691514,82.62407386723258,11.73541773968256,53.1987738803082,51.833418876052804,52.14420640595873,47.85579359404127,46.8012261196918,23.746026759695944
02,029,00000,DISTRICT,Una,Total,110332,521173,263692,257481,59231,31591,27640,115491,58601,56890,8601,4445,4156,399715,213281,186434,121458,50411,71047,215346,141612,73734,134482,105932,28550,35685,24045,11640,7052,5793,1259,2234,1814,420,89511,74280,15231,80864,35680,45184,49115,15106,34009,12552,7866,4686,1193,636,557,18004,12072,5932,305827,122080,183747,976.4460051878707,11.36494024057271,22.1598202516247,1.650315730093462,86.52926124924775,91.89146104497611,81.11433556241053,10.77712548256558,41.31948508460722,28.636676104256235,62.449267690135876,37.550732309864124,58.68051491539278,19.845736628495537
02,030,00000,DISTRICT,Bilaspur,Total,80485,381956,192764,189192,41956,22084,19872,98989,50271,48718,10693,5485,5208,287620,155599,132021,94336,37165,57171,205871,111543,94328,103406,73400,30006,40563,19963,20600,1163,901,262,1492,1276,216,60188,51260,8928,102465,38143,64322,86606,27322,59284,2975,1918,1057,1069,525,544,11815,8378,3437,176085,81221,94864,981.469569006661,10.984511304967064,25.916335913037102,2.799537119458786,84.59411764705882,91.1641668619639,77.97129695251594,13.192869909447964,53.899140215103316,49.858344961732,50.22854117384187,49.771458826158124,46.10085978489669,20.268031922903177
02,031,00000,DISTRICT,Solan,Total,122425,580320,308754,271566,68137,35884,32253,164536,85482,79054,25645,13351,12294,428578,244372,184206,151742,64382,87360,298737,190001,108736,219235,158008,61227,80066,43243,36823,5764,3775,1989,3046,2503,543,130359,108487,21872,79502,31993,47509,61201,21670,39531,4519,2381,2138,1923,848,1075,11859,7094,4765,281583,118753,162830,879.5545968635224,11.741280672732286,28.352633030052388,4.419113592500689,83.67673273029366,89.55619892256385,76.97283473944165,12.5833641831222,51.4779776674938,40.04035851321594,73.38729384040143,26.612706159598577,48.522022332506204,28.730957330360816
02,032,00000,DISTRICT,Sirmaur,Total,98208,529855,276289,253566,69620,36107,33513,160745,83017,77728,11262,5912,5350,362645,205617,157028,167210,70672,96538,280083,169399,110684,193906,134952,58954,115992,71583,44409,5953,4225,1728,2677,2179,498,69284,56965,12319,86177,34447,51730,66966,22715,44251,4777,2532,2245,2636,1053,1583,11798,8147,3651,249772,106890,142882,917.7564072402448,13.139443810098989,30.33754517745421,2.125487161581942,78.79561528349647,85.60882997060563,71.35917256297346,14.24965740763217,52.86031083975805,43.65096266849656,69.23162062674278,30.768379373257215,47.13968916024196,43.53887954642017
02,033,00000,DISTRICT,Shimla,Total,184362,814010,425039,388971,81564,42376,39188,215777,110828,104949,8755,4554,4201,612642,342846,269796,201368,82193,119175,430926,258628,172298,311770,214980,96790,156511,94790,61721,17486,11326,6160,5382,3405,1977,132391,105459,26932,119156,43648,75508,93275,30750,62525,8628,3864,4764,2585,1079,1506,14668,7955,6713,383084,166411,216673,915.1419046252227,10.020024324025503,26.5079053082886,1.0755396125354726,83.6432993012454,89.59476092540956,77.13239351254921,12.462367412860345,52.93866168720286,44.29584724825244,72.34884875825549,27.65115124174452,47.06133831279714,40.37746620069339
02,034,00000,DISTRICT,Kinnaur,Total,19976,84121,46249,37872,8246,4200,4046,14750,7433,7317,48746,23609,25137,60699,36697,24002,23422,9552,13870,56273,33863,22410,46782,29911,16871,25890,12912,12978,1759,1157,602,614,402,212,18519,15440,3079,9491,3952,5539,7105,2510,4595,778,445,333,330,164,166,1278,833,445,27848,12386,15462,818.8717593893922,9.802546332069282,17.53426611666528,57.947480415116324,79.99868204283361,87.27199219957669,70.95725181812807,16.314740381448615,66.89530557173595,59.173003802281364,83.13400742807386,16.865992571926146,33.10469442826405,49.13368755886482
03,035,00000,DISTRICT,Gurdaspur,Total,443666,2298323,1212617,1085706,253579,139261,114318,580576,304894,275682,0,0,0,1634719,907660,727059,663604,304957,358647,757138,637652,119486,625778,548676,77102,136551,127192,9359,70767,64085,6682,21298,15093,6205,397162,342306,54856,131360,88976,42384,11361,6540,4821,29917,23736,6181,9605,4232,5373,80477,54468,26009,1541185,574965,966220,895.3412330521509,11.033218568495377,25.2608532395142,0.0,79.94736749441495,84.56281047480985,74.84743480463007,9.715375670179782,32.94306326830476,11.005373462060632,82.65045473876624,17.34954526123375,67.05693673169523,27.381798298328707
03,036,00000,DISTRICT,Kapurthala,Total,167989,815168,426311,388857,86025,45973,40052,276707,143901,132806,0,0,0,576567,316254,260313,238601,110057,128544,284165,235562,48603,248208,213028,35180,53045,49531,3514,32888,27118,5770,8206,6429,1777,154069,129950,24119,35957,22534,13423,2207,1447,760,9499,6126,3373,1655,865,790,22596,14096,8500,531003,190749,340254,912.1439512468596,10.55303937347884,33.94478193452147,0.0,79.0746122502719,83.15077641466276,74.62995083212684,8.52082558253592,34.859685365470675,12.498939198728582,87.3464360494783,12.653563950521704,65.14031463452933,30.240529269966395
03,037,00000,DISTRICT,Jalandhar,Total,461635,2193590,1145211,1048379,226302,120740,105562,854444,442124,412320,0,0,0,1622537,882581,739956,571053,262630,308423,774472,639484,134988,689592,586721,102871,81443,75668,5775,52371,43021,9350,24842,19508,5334,530936,448524,82412,84880,52763,32117,4252,2356,1896,14293,8859,5434,4920,2078,2842,61415,39470,21945,1419118,505727,913391,915.4461492249027,10.316513113207117,38.95185517804148,0.0,82.47582458694406,86.14992518089824,78.48352331364411,7.666401867254123,35.30614198642408,12.875877902933958,89.04027518102656,10.959724818973443,64.69385801357592,17.278093978865602
03,038,00000,DISTRICT,Hoshiarpur,Total,336994,1586625,809057,777568,168331,90280,78051,557504,284322,273182,0,0,0,1199699,637927,561772,386926,171130,215796,499822,412506,87316,411011,352281,58730,82587,77094,5493,49487,41453,8034,11952,9292,2660,266985,224442,42543,88811,60225,28586,7185,4358,2827,24875,17608,7267,4038,2292,1746,52713,35967,16746,1086803,396551,690252,961.0793800684006,10.609375246198692,35.13772945718112,0.0,84.5874691707079,88.75172689165069,80.30855576061768,8.443171131033012,31.502213818640197,11.229371579077329,82.23147440488813,17.768525595111857,68.49778618135981,26.424207017698297
03,039,00000,DISTRICT,Shahid Bhagat Singh Nagar,Total,129500,612310,313291,299019,62719,33278,29441,260284,133035,127249,0,0,0,438459,239155,199304,173851,74136,99715,204329,170252,34077,173507,150279,23228,40289,37723,2566,16556,13984,2572,7118,5161,1957,109544,93411,16133,30822,19973,10849,2319,1471,848,6070,3702,2368,1893,787,1106,20540,14013,6527,407981,143039,264942,954.4449090462223,10.243014159494374,42.50853325929676,0.0,79.77914485499217,85.40853460375054,73.93184903812624,11.476685565624294,33.370188303310414,11.396265789130457,84.91550391770136,15.084496082298646,66.62981169668959,27.82032897924426
03,040,00000,DISTRICT,Fatehgarh Sahib,Total,118100,600163,320795,279368,63271,34340,28931,192493,101882,90611,0,0,0,426033,238696,187337,174130,82099,92031,214783,182777,32006,192845,168110,24735,42822,40823,1999,17633,16288,1345,6837,5218,1619,125553,105781,19772,21938,14667,7271,1423,1011,412,3756,2871,885,1211,580,631,15548,10205,5343,385380,138018,247362,870.8614535762714,10.54230267444011,32.07345337849884,0.0,79.35171319371493,83.3275732663071,74.80404253365118,8.523530732655914,35.78744441093503,11.456573408550728,89.78597002556069,10.214029974439317,64.21255558906496,28.14701349734383
03,041,00000,DISTRICT,Ludhiana,Total,716826,3498739,1867816,1630923,384114,206502,177612,923358,487839,435519,0,0,0,2560225,1428348,1131877,938514,439468,499046,1284822,1053600,231222,1138654,969954,168700,133588,124397,9191,79561,68991,10570,58488,44824,13664,867017,731742,135275,146168,83646,62522,7149,4351,2798,19085,12604,6481,13179,4805,8374,106755,61886,44869,2213917,814216,1399701,873.1711260638093,10.9786411618586,26.39116550277114,0.0,82.20010434643015,85.97700374522817,77.88264177454103,8.094361970687146,36.722430567127184,14.177370728109176,88.62348247461516,11.37651752538484,63.277569432872816,16.589768855141024
03,042,00000,DISTRICT,Moga,Total,193256,995746,525920,469826,107336,57694,49642,363417,192418,170999,0,0,0,627889,348549,279340,367857,177371,190486,359172,292379,66793,304880,259626,45254,86659,82498,4161,64215,57552,6663,13518,8459,5059,140488,111117,29371,54292,32753,21539,4963,3104,1859,18182,13091,5091,4580,1637,2943,26567,14921,11646,636574,233541,403033,893.3411925768178,10.779455804994447,36.496958059585474,0.0,70.6755889735595,74.440334368446,66.48039906326753,7.959935305178476,36.07064452179572,14.216539740244261,84.88412237034068,15.115877629659327,63.929355478204286,42.00605837871549
03,043,00000,DISTRICT,Firozpur,Total,385994,2029074,1071637,957437,248103,134319,113784,855726,445461,410265,0,0,0,1227511,707070,520441,801563,364567,436996,756695,596406,160289,618362,541494,76868,170993,160141,10852,153627,131101,22526,11182,8029,3153,282560,242223,40337,138333,54912,83421,20692,5719,14973,74344,25563,48781,3497,1146,2351,39800,22484,17316,1272379,475231,797148,893.434063960091,12.227400282099126,42.173227787650916,0.0,68.92369387261219,75.43544453429892,61.68898824516715,13.746456289131771,37.29262708013606,16.741467062584796,81.71879026556275,18.281209734437258,62.707372919863936,42.89971520890187
03,044,00000,DISTRICT,Muktsar,Total,174360,901896,475622,426274,104419,57020,47399,381554,200473,181081,0,0,0,524848,300401,224447,377048,175221,201827,335326,272699,62627,287205,253207,33998,82163,78771,3392,85122,73131,11991,4338,3371,967,115582,97934,17648,48121,19492,28629,4402,1400,3002,25892,9759,16133,849,312,537,16978,8021,8957,566570,202923,363647,896.2453376841273,11.57772071280946,42.30576474449382,0.0,65.81355951331513,71.76291560957664,59.240382711976245,12.522532897600392,37.18011832849907,14.691724102337933,85.64948736453482,14.35051263546519,62.81988167150093,49.887273876764695
03,045,00000,DISTRICT,Faridkot,Total,120893,617508,326671,290837,69311,37454,31857,240328,126567,113761,0,0,0,381285,215767,165518,236223,110904,125319,221555,185049,36506,190415,168224,22191,50138,48431,1707,41066,36799,4267,6283,4444,1839,92928,78550,14378,31140,16825,14315,3092,1601,1491,12992,7229,5763,1942,712,1230,13114,7283,5831,395953,141622,254331,890.3055367632878,11.224308025159187,38.91900995614632,0.0,69.55255136383454,74.60384417236885,63.91149895744845,10.692345214920401,35.878887399029644,12.552048054408482,85.94479925977748,14.055200740222517,64.12111260097035,41.16539911083027
